ID,2_Boca_Rio_8_28_20,12_Boca_Rio_4_14_21,6_Boca_Rio_12_30_20,10_Boca_Rio_3_14_21,14_Boca_Rio_5_5_21,8_Boca_Rio_1_27_21,5_Radio_Club_12_30_20,1_Radio_Club_8_28_20,7_Radio_Club_1_27_21,4_Boca_Rio_11_10_20,9_Radio_Club_3_14_21,3_Radio_Club_11_10_20,13_Radio_Club_5_5_21
Frankia sp. DC12,11,17,10,2,3,13,4,5,6,14,5,4,34
Frankia sp. EI5c,11,33,20,8,5,13,1,14,5,20,2,1,20
Frankia sp. EUN1f,15,22,22,3,4,9,9,29,0,28,3,3,22
Frankia sp. EUN1h,2,1,0,0,1,2,1,0,0,2,0,0,3
Frankia sp. Ea1.12,1,12,6,0,0,4,2,46,8,6,6,4,32
Frankia sp. EuIK1,1,0,0,0,0,0,0,0,0,0,0,0,0
Frankia sp. KB5,2,1,2,0,0,0,1,5,0,0,0,0,3
Frankia sp. QA3,9,38,4,4,7,14,6,16,3,8,3,5,33
Frankia sp. R43,2,17,1,1,0,1,8,4,1,6,0,4,1
Frankia sp.,0,0,0,0,0,0,0,0,0,0,0,0,4
Frankia symbiont of Coriaria myrtifolia,0,0,2,0,0,0,0,0,0,0,0,0,0
Frankia symbiont of Coriaria ruscifolia,4,10,3,2,1,4,2,3,2,2,0,2,4
Frankia torreyi,0,0,0,0,0,0,0,0,2,0,0,1,3
uncultured Frankia sp.,5,0,0,0,6,0,0,0,0,1,0,0,0
Frankiales bacterium,19,27,37,29,5,20,12,51,6,32,6,10,3
Frankineae bacterium MT45,4,18,12,4,5,5,5,20,2,4,3,2,7
uncultured Frankineae bacterium,21,76,32,17,8,31,18,89,17,41,3,27,107
Antricoccus suffuscus,23,48,20,28,17,6,8,72,3,22,3,2,3
Blastococcus aggregatus,8,10,25,1,1,38,12,61,12,12,6,4,5
Blastococcus atacamensis,3,8,9,0,2,5,0,9,0,1,3,3,3
Blastococcus colisei,2,18,10,4,5,3,8,10,2,7,1,3,8
Blastococcus endophyticus,17,43,19,5,6,9,1,10,7,18,5,3,31
Blastococcus litoris,12,2,0,14,2,10,5,1,1,12,1,2,18
Blastococcus saxobsidens,20,27,31,6,11,24,7,77,9,28,3,8,54
Blastococcus sp. AZ43,6,22,5,3,4,9,9,2,2,9,1,0,6
Blastococcus sp. CCUG 61487,9,21,16,5,6,12,9,16,6,14,3,2,4
Blastococcus sp. CPCC 205250,10,7,9,3,4,4,4,6,3,12,2,3,32
Blastococcus sp. CT_GayMR16,4,15,14,1,4,9,6,34,5,7,3,10,4
Blastococcus sp. CT_GayMR19,12,9,12,2,0,10,7,49,1,8,3,5,13
Blastococcus sp. CT_GayMR20,8,29,3,0,2,8,0,9,1,8,1,6,9
Blastococcus sp. DSM 44205,4,3,30,4,0,24,10,3,8,12,2,4,10
Blastococcus sp. DSM 44268,2,6,30,5,2,21,16,15,5,9,3,11,10
Blastococcus sp. DSM 44270,5,16,10,2,3,6,6,39,1,9,1,3,7
Blastococcus sp. DSM 44272,1,29,9,3,3,14,5,24,10,14,5,4,15
Blastococcus sp. DSM 46786,5,12,5,3,0,11,5,17,4,5,5,1,12
Blastococcus sp. DSM 46838,6,15,10,1,5,19,9,16,4,5,2,3,13
Blastococcus sp. LR1,8,12,10,0,5,5,1,6,0,4,3,2,3
Blastococcus sp. Marseille-P5729,19,13,7,2,14,7,7,85,1,21,10,0,37
Blastococcus sp. TBT05-19,4,7,5,2,1,3,3,7,0,3,5,2,5
Blastococcus sp. TF02-8,1,13,3,2,1,3,3,16,2,3,2,0,8
Blastococcus sp. TF02-9,13,13,14,3,7,19,9,17,3,10,6,2,10
Blastococcus sp. TF02A-26,32,7,6,3,2,6,10,19,8,8,6,6,14
Blastococcus sp. TF02A-30,7,13,10,6,2,8,3,4,5,8,5,2,13
Blastococcus sp. TF02A_35,3,5,7,3,0,5,5,5,2,4,0,3,5
Blastococcus sp. TML/C7B,0,1,3,0,0,3,0,15,1,1,2,0,0
Blastococcus sp. TML/M2B,0,3,4,0,1,3,4,3,0,0,1,0,8
Blastococcus sp. URHD0036,6,19,2,3,1,15,8,15,3,9,0,6,10
Blastococcus xanthinilyticus,11,7,10,2,5,16,5,20,5,16,2,7,10
Candidatus Blastococcus massiliensis,17,10,23,6,2,11,7,6,2,6,3,2,4
uncultured Blastococcus sp.,24,68,31,15,5,33,12,55,13,47,8,22,89
Cumulibacter manganitolerans,22,76,11,4,6,5,6,42,3,27,1,0,27
Cumulibacter soli,52,18,17,14,21,19,6,85,3,30,6,11,13
Geodermatophilus africanus,8,20,4,2,6,5,6,35,3,7,0,6,17
Geodermatophilus amargosae,7,17,8,4,6,6,3,34,2,9,1,1,21
Geodermatophilus aquaeductus,5,16,1,4,1,5,9,26,0,8,1,4,16
Geodermatophilus bullaregiensis,15,5,6,9,7,7,3,28,3,17,0,2,14
Geodermatophilus chilensis,5,28,8,6,2,11,7,15,2,10,2,2,11
Geodermatophilus daqingensis,9,15,10,5,4,14,4,19,2,10,1,3,47
Geodermatophilus dictyosporus,8,15,4,6,3,14,4,97,1,13,0,2,9
Geodermatophilus nigrescens,7,11,10,5,2,6,0,27,1,8,1,1,8
Geodermatophilus normandii,8,26,18,4,5,8,1,1,2,10,4,4,22
Geodermatophilus obscurus,30,46,17,3,5,9,11,69,9,32,5,7,24
Geodermatophilus poikilotrophus,0,7,2,0,2,0,4,7,3,2,1,1,5
Geodermatophilus pulveris,18,19,7,9,5,4,2,18,1,18,0,1,35
Geodermatophilus ruber,12,42,9,2,1,3,5,11,2,11,1,4,9
Geodermatophilus sabuli,15,35,22,5,10,31,7,19,3,22,2,2,36
Geodermatophilus saharensis,13,25,5,2,0,11,8,35,7,6,1,4,8
Geodermatophilus siccatus,10,11,5,0,4,9,4,4,2,8,0,1,1
Geodermatophilus sp. DF01_2,7,22,1,2,0,10,6,3,4,4,3,2,9
Geodermatophilus sp. DSM 45219,10,17,6,3,11,7,4,4,3,10,6,3,11
Geodermatophilus sp. LHW52908,7,19,21,6,3,8,8,43,2,26,2,1,18
Geodermatophilus sp. Leaf369,1,1,3,0,0,1,0,4,0,1,0,0,2
Geodermatophilus sp. TF02-6,4,13,4,4,3,8,2,4,0,8,2,1,9
Geodermatophilus telluris,6,14,6,4,1,6,0,40,4,8,0,2,7
Geodermatophilus tzadiensis,9,7,9,3,11,1,0,3,2,9,2,2,21
uncultured Geodermatophilus sp.,0,0,1,0,0,0,0,0,0,0,0,0,0
Klenkia brasiliensis,3,18,5,2,3,5,3,9,2,5,3,5,7
Klenkia marina,5,5,6,2,5,9,0,39,2,13,0,3,24
Klenkia soli,33,11,4,2,21,4,3,10,4,14,0,0,7
Klenkia taihuensis,20,4,2,0,1,6,0,1,3,5,0,2,0
Klenkia terrae,5,15,2,4,2,7,4,11,8,3,2,4,19
Modestobacter altitudinis,1,6,6,4,7,5,4,11,3,1,0,0,3
Modestobacter caceresii,4,1,7,2,0,3,3,0,1,2,0,2,0
Modestobacter deserti,23,25,17,4,8,12,5,44,1,35,2,8,25
Modestobacter excelsi,0,11,10,0,0,11,2,10,2,6,1,2,57
Modestobacter italicus,8,5,6,3,2,8,3,2,6,8,0,2,4
Modestobacter lapidis,13,6,5,7,3,8,4,15,11,12,0,6,6
Modestobacter marinus,14,47,39,17,13,34,19,156,15,27,15,13,42
Modestobacter muralis,3,13,4,1,3,0,4,13,6,12,2,3,15
Modestobacter roseus,5,15,13,12,3,4,7,10,6,13,1,5,13
Modestobacter sp. DSM 44400,11,15,12,4,3,10,5,11,4,9,4,5,32
Modestobacter sp. KNN46-3,6,0,2,0,7,1,0,14,1,7,0,0,0
Modestobacter sp. L9-4,3,8,10,5,6,3,2,9,4,18,0,1,15
Modestobacter sp. Leaf380,13,14,7,5,12,3,6,26,1,9,2,2,8
Modestobacter sp. VKM Ac-2676,1,21,11,2,1,10,8,7,2,5,4,4,22
Modestobacter versicolor,14,19,6,8,9,5,5,7,6,13,1,2,11
Geodermatophilaceae bacterium NBWT11,4,5,10,3,0,3,1,6,2,5,0,0,3
Glycomyces albidus,7,18,6,0,1,11,0,34,0,7,3,1,7
Glycomyces arizonensis,10,19,5,2,5,8,4,2,4,13,4,1,1
Glycomyces artemisiae,10,6,1,2,2,7,10,24,7,12,4,0,3
Glycomyces buryatensis,17,16,6,4,10,17,5,7,3,18,2,0,26
Glycomyces dulcitolivorans,1,3,3,4,4,2,2,31,0,8,1,3,0
Glycomyces fuscus,2,16,6,1,0,5,6,9,2,1,5,7,17
Glycomyces harbinensis,9,11,2,4,2,8,4,8,2,7,1,4,13
Glycomyces paridis,10,25,8,7,4,9,5,79,0,16,2,4,12
Glycomyces salinus,9,18,15,8,15,15,3,57,7,36,3,0,8
Glycomyces sambucus,4,8,7,5,4,8,1,24,3,9,0,2,8
Glycomyces sp. A-F 0318,13,10,14,7,5,5,6,7,3,13,2,2,13
Glycomyces sp. NEAU-S30,7,16,7,4,4,2,4,3,1,8,0,1,19
Glycomyces sp. NRRL B-16210,4,8,11,3,7,5,3,34,3,9,0,4,4
Glycomyces sp. TRM65418,13,11,5,5,3,2,7,18,1,13,0,3,9
Glycomyces sp. YM15,6,5,13,9,2,6,1,5,0,13,2,6,6
Glycomyces tenuis,11,10,2,2,3,12,6,16,5,30,4,7,10
Glycomyces terrestris,3,10,6,4,2,8,1,4,5,11,0,4,2
Glycomyces xiaoerkulensis,28,12,7,3,18,7,4,4,7,19,4,10,2
Haloglycomyces albus,26,12,3,4,18,10,0,36,2,43,4,1,4
Natronoglycomyces albus,25,12,4,3,13,14,3,26,1,12,0,4,3
Stackebrandtia albiflava,24,28,6,9,14,8,6,27,4,33,0,4,18
Stackebrandtia endophytica,14,21,15,7,14,6,2,18,2,13,6,1,18
Stackebrandtia nassauensis,25,27,7,13,16,12,4,64,1,32,4,8,7
uncultured Stackebrandtia sp.,0,1,0,0,0,0,0,0,0,0,0,0,0
Jatrophihabitans endophyticus,27,31,12,5,18,13,4,95,15,20,4,1,15
Jatrophihabitans sp. GAS493,29,17,7,4,17,12,1,21,4,12,7,4,9
Jatrophihabitans sp.,28,14,15,6,9,4,4,16,1,23,2,1,8
Haloactinopolyspora alba,15,26,6,6,17,13,10,44,1,63,3,1,20
Jiangella alba,3,16,2,2,3,4,4,15,2,13,1,0,7
Jiangella alkaliphila,7,19,7,7,2,14,0,24,4,13,3,6,11
Jiangella anatolica,10,10,7,3,2,10,5,58,10,15,2,2,14
Jiangella asiatica,27,51,11,7,9,15,8,4,5,24,7,5,12
Jiangella aurantiaca,17,13,12,8,10,14,3,88,4,13,3,1,20
Jiangella endophytica,3,22,8,2,2,6,5,27,0,10,4,1,13
Jiangella gansuensis,12,36,11,5,4,3,6,30,0,28,0,6,5
Jiangella mangrovi,13,19,19,12,12,32,5,74,6,21,5,3,19
Jiangella muralis,8,21,10,6,3,7,4,22,0,5,1,1,15
Jiangella rhizosphaerae,6,11,5,5,1,2,3,33,2,5,1,4,7
Jiangella sp. DSM 45060,2,10,5,7,6,2,4,19,0,6,0,0,7
Jiangella ureilytica,5,11,4,11,6,12,3,45,2,9,1,6,13
Phytoactinopolyspora alkaliphila,26,43,10,2,13,8,11,25,10,19,5,0,2
Phytoactinopolyspora endophytica,25,42,14,19,8,14,5,19,5,26,1,5,4
Phytoactinopolyspora halophila,0,1,0,0,0,1,0,0,0,0,0,0,0
Phytoactinopolyspora halotolerans,25,41,13,3,18,15,6,53,9,34,4,6,14
Phytoactinopolyspora limicola,43,51,14,8,26,13,2,59,3,46,8,2,12
Phytoactinopolyspora mesophila,30,25,15,7,12,7,5,41,2,22,5,3,12
Angustibacter sp. Root456,31,28,16,5,24,6,8,198,6,58,5,13,12
Kineococcus aurantiacus,19,11,8,5,20,9,4,58,1,31,1,1,6
Kineococcus indalonis,16,16,23,9,4,8,5,47,4,18,4,3,21
Kineococcus radiotolerans,30,30,65,8,24,19,8,29,16,46,2,10,41
Kineococcus rhizosphaerae,36,22,10,8,22,10,4,48,6,28,3,12,12
Kineococcus rubinsiae,15,12,17,2,1,7,0,26,4,23,0,0,20
Kineococcus siccus,16,13,18,9,19,10,5,41,1,25,2,3,22
Kineococcus vitellinus,24,16,10,3,1,5,1,84,3,24,0,8,15
Kineococcus xinjiangensis,27,20,24,3,35,16,8,59,5,36,2,4,60
Kineosporia babensis,31,15,17,4,37,14,5,68,11,24,1,12,26
Kineosporia mesophila,37,28,16,10,15,3,5,52,10,31,9,2,7
Kineosporia rhizophila,19,26,9,9,19,15,15,28,4,23,5,2,8
Kineosporia sp. A_224,33,16,11,6,25,13,1,17,1,77,1,1,21
Kineosporia sp. J2-2,32,28,15,13,17,22,10,64,15,22,2,12,26
Kineosporia sp. R_H_3,20,12,11,3,11,10,5,25,8,26,2,5,10
Kineosporiaceae bacterium SCSIO 59966,48,17,24,4,25,16,10,48,7,21,4,8,13
Pseudokineococcus lusitanus,31,12,2,7,13,10,8,45,8,13,4,2,33
Pseudokineococcus marinus,24,12,8,3,19,11,3,29,5,31,3,6,16
Quadrisphaera granulorum,15,19,16,5,10,8,1,62,5,20,2,3,11
Quadrisphaera sp. DD2A,6,26,10,2,3,5,4,34,3,10,2,3,31
Quadrisphaera sp. DSM 44207,34,17,9,3,9,4,0,51,2,21,3,2,16
Quadrisphaera sp. INWT6,10,18,11,3,4,23,6,30,5,15,6,8,17
Quadrisphaera sp. RL12-1S,14,8,5,6,4,4,3,17,3,18,4,1,363
uncultured Quadrisphaera sp.,22,55,23,15,6,23,11,36,11,50,10,7,142
Beutenbergia cavernae,19,20,5,4,12,9,6,104,7,25,9,5,11
uncultured Beutenbergia sp.,0,0,0,0,0,0,0,6,0,0,0,0,0
Miniimonas arenae,0,2,2,0,0,2,2,7,2,1,0,3,2
Miniimonas sp. S16,7,0,3,1,2,4,1,8,2,6,1,0,4
Salana multivorans,0,10,6,3,0,7,1,153,1,4,1,2,6
Serinibacter arcticus,42,17,17,9,34,22,14,185,9,59,8,7,52
Serinibacter salmoneus,34,13,8,6,11,7,4,113,3,40,5,2,8
Bogoriella caseilytica,18,17,9,1,26,10,14,50,11,13,5,6,12
Georgenia faecalis,32,30,14,1,18,28,19,50,5,35,9,9,5
Georgenia muralis,20,20,43,12,4,56,67,135,16,36,34,121,17
Georgenia ruanii,17,7,5,3,1,7,8,47,1,22,7,0,14
Georgenia satyanarayanai,41,22,36,9,10,76,68,49,39,71,33,56,14
Georgenia soli,24,10,18,1,21,13,17,56,11,35,13,11,9
Georgenia sp. 311,2,1,1,0,0,8,0,8,1,2,0,0,0
Georgenia sp. SUBG003,1,5,15,7,4,10,8,21,1,23,2,5,10
Georgenia sp. SYP-B2076,34,10,8,9,19,12,18,69,4,32,5,7,12
Georgenia subflava,16,27,7,5,18,13,23,102,6,30,13,8,4
Georgenia thermotolerans,6,18,8,0,10,15,9,34,4,25,5,5,6
Georgenia wutianyii,5,3,0,2,0,1,2,14,1,2,3,1,0
Georgenia yuyongxinii,63,27,12,0,23,16,29,77,7,35,12,9,9
Brevibacterium album,27,13,3,2,19,6,7,66,4,20,3,10,27
Brevibacterium antiquum,11,30,5,2,1,13,7,137,25,17,13,4,6
Brevibacterium atlanticum,3,2,0,1,5,3,1,67,0,6,3,0,5
Brevibacterium aurantiacum,25,23,19,7,12,12,23,233,11,35,10,9,25
Brevibacterium casei,22,15,10,8,12,9,8,67,9,56,9,4,7
Brevibacterium epidermidis,0,2,5,1,0,1,0,23,0,0,3,0,1
Brevibacterium ihuae,19,6,5,1,9,7,5,100,3,29,3,0,2
Brevibacterium iodinum,11,0,1,0,5,4,1,41,1,4,1,0,6
Brevibacterium jeotgali,8,3,5,2,3,5,3,19,1,9,4,1,4
Brevibacterium limosum,4,1,10,11,9,3,2,3,0,1,0,0,1
Brevibacterium linens,7,8,4,3,15,7,12,75,8,34,2,6,5
Brevibacterium luteolum,17,14,11,3,11,3,4,77,7,25,6,7,3
Brevibacterium marinum,13,2,3,0,3,6,2,15,0,9,0,4,2
Brevibacterium mcbrellneri,12,1,3,3,4,1,3,39,0,7,1,2,5
Brevibacterium oceani,7,9,4,5,1,4,6,4,3,10,0,3,3
Brevibacterium paucivorans,13,29,8,2,5,2,0,43,4,10,2,2,2
Brevibacterium permense,0,2,0,3,0,0,0,6,0,2,0,0,2
Brevibacterium pigmentatum,3,0,3,0,2,3,1,17,6,3,5,0,4
Brevibacterium ravenspurgense,1,5,4,0,0,0,2,33,2,2,1,0,7
Brevibacterium renqingii,3,17,3,2,5,7,6,20,0,9,1,2,0
Brevibacterium rongguiense,15,13,11,4,13,8,0,11,0,12,1,2,33
Brevibacterium sandarakinum,9,5,1,1,3,1,2,33,0,12,3,2,2
Brevibacterium sediminis,3,5,0,0,8,2,0,7,0,3,0,2,0
Brevibacterium senegalense,23,3,4,5,10,7,4,50,1,13,1,5,0
Brevibacterium siliguriense,1,1,16,11,4,9,0,4,0,4,0,0,0
Brevibacterium sp. 'Marine',4,0,3,4,5,5,0,47,0,4,2,2,0
Brevibacterium sp. 239c,2,2,1,0,0,0,1,20,0,5,3,0,2
Brevibacterium sp. 2SA,0,2,1,0,0,0,0,5,0,4,0,0,0
Brevibacterium sp. CCUG 69071,19,16,5,2,15,6,4,32,5,13,2,19,10
Brevibacterium sp. CFH 10365,3,4,0,0,0,4,3,31,7,7,0,0,3
Brevibacterium sp. CS2,38,19,7,0,30,14,4,44,0,27,7,3,15
Brevibacterium sp. CT2-23B,0,1,3,0,1,0,1,1,0,4,0,2,1
Brevibacterium sp. FME17,1,0,0,0,0,0,0,0,0,0,0,0,0
Brevibacterium sp. FME37,4,0,0,0,1,0,1,20,1,0,0,0,0
Brevibacterium sp. HCU,0,0,1,0,0,0,0,0,0,0,0,0,0
Brevibacterium sp. HMSC063G07,0,0,0,0,0,1,0,0,0,0,0,2,0
Brevibacterium sp. HMSC07C04,0,0,1,0,0,0,0,6,0,1,0,0,0
Brevibacterium sp. HMSC08F02,1,0,0,0,0,0,0,0,0,1,0,0,0
Brevibacterium sp. HMSC22B09,0,0,0,0,0,0,0,0,0,0,0,2,0
Brevibacterium sp. HMSC24B04,8,0,0,0,7,0,0,1,0,9,0,0,0
Brevibacterium sp. HY170,0,3,1,3,4,0,1,9,0,2,0,1,7
Brevibacterium sp. JNUCC-42,2,1,0,5,0,5,2,0,0,5,0,0,0
Brevibacterium sp. LS14,0,0,0,0,0,0,0,2,0,0,0,0,0
Brevibacterium sp. MG-1,0,1,0,0,2,0,0,17,2,2,0,1,0
Brevibacterium sp. Marseille-P9724,0,1,0,0,0,0,1,3,0,0,0,0,0
Brevibacterium sp. Mu109,4,6,0,0,2,6,3,140,1,5,4,0,1
Brevibacterium sp. PAMC21349,0,0,0,1,1,0,0,2,0,0,0,0,0
Brevibacterium sp. PAMC23299,0,0,1,1,0,0,1,1,1,0,0,0,0
Brevibacterium sp. RIT 803,1,1,0,1,7,1,1,61,2,8,0,3,0
Brevibacterium sp. Re57,9,2,0,0,1,1,4,55,0,10,0,1,6
Brevibacterium sp. S111,1,2,0,2,0,2,2,51,0,1,0,1,5
Brevibacterium sp. S22,3,4,2,1,4,0,2,4,1,2,0,3,5
Brevibacterium sp. SMBL_HHYL_HB1,16,6,3,2,5,4,3,90,3,15,0,5,2
Brevibacterium sp. VCM10,13,1,0,5,4,2,2,5,8,6,3,7,1
Brevibacterium sp. W7.2,3,1,0,0,0,0,0,1,0,0,0,0,0
Brevibacterium sp. XM4083,1,0,2,0,0,0,3,6,3,0,1,0,4
Brevibacterium yomogidense,11,7,7,7,16,23,11,22,13,12,7,3,5
Sediminivirga luteola,37,39,14,2,30,3,5,81,9,51,9,5,10
Spelaeicoccus albus,57,25,4,3,33,5,1,72,9,64,5,4,8
Actinotalea caeni,6,27,6,2,14,15,7,36,7,22,4,5,10
Actinotalea fermentans,28,24,15,2,18,10,20,213,10,43,7,31,21
Actinotalea ferrariae,49,43,51,13,16,47,47,161,29,50,18,25,16
Actinotalea solisilvae,21,17,28,10,6,20,13,61,8,32,8,9,7
Actinotalea sp. BY-33,6,21,7,2,5,13,11,36,11,37,3,9,4
Actinotalea sp. HO-Ch2,17,28,20,12,16,26,10,99,19,49,23,17,14
Actinotalea sp. JY-7876,6,2,0,0,0,0,1,119,4,3,1,1,0
Actinotalea sp. JY-7885,0,2,2,0,0,0,0,6,1,0,0,0,0
Actinotalea sp. Marseille-Q4924,21,12,12,9,19,9,10,60,11,19,12,13,6
Cellulomonas aerilata,32,58,52,1,9,18,12,68,7,41,7,16,6
Cellulomonas algicola,0,4,1,0,2,0,0,2,0,1,0,1,2
Cellulomonas aurantiaca,0,0,0,0,0,2,0,0,0,1,0,0,0
Cellulomonas biazotea,3,7,8,2,8,10,9,44,3,5,3,12,15
Cellulomonas bogoriensis,23,30,9,6,34,13,10,53,6,23,4,2,11
Cellulomonas carbonis,19,12,34,10,4,23,19,81,9,67,8,17,4
Cellulomonas cellasea,18,37,53,5,13,64,13,99,11,81,15,28,29
Cellulomonas chitinilytica,10,26,11,6,8,10,5,49,5,6,6,4,42
Cellulomonas citrea,24,17,7,3,14,13,2,100,7,18,7,0,8
Cellulomonas composti,11,19,7,3,3,2,6,117,14,23,2,6,9
Cellulomonas denverensis,16,5,7,6,3,5,6,33,0,19,10,2,22
Cellulomonas endophytica,20,4,12,4,8,12,1,61,6,17,1,5,21
Cellulomonas fimi,45,23,16,6,28,14,17,115,8,53,4,10,10
Cellulomonas flavigena,9,10,10,4,9,3,6,19,5,7,2,1,14
Cellulomonas gelida,2,2,0,0,0,0,3,19,0,1,0,0,9
Cellulomonas gilvus,5,5,6,2,1,3,4,30,4,7,2,13,11
Cellulomonas hominis,26,37,43,14,16,26,15,160,10,63,16,17,71
Cellulomonas humilata,7,12,6,4,4,8,5,10,3,7,5,1,6
Cellulomonas iranensis,3,1,3,0,2,5,2,8,0,6,1,2,4
Cellulomonas marina,16,18,12,2,20,8,8,73,7,41,1,11,12
Cellulomonas massiliensis,4,5,5,0,18,13,6,19,3,11,0,5,0
Cellulomonas oligotrophica,1,7,11,4,5,9,10,69,19,15,4,9,12
Cellulomonas pakistanensis,3,7,3,1,3,4,2,6,3,8,2,3,14
Cellulomonas persica,13,9,4,0,7,1,1,97,0,12,1,3,7
Cellulomonas phragmiteti,21,18,11,5,11,4,4,24,4,25,6,2,8
Cellulomonas rhizosphaerae,10,6,5,0,1,2,0,26,3,5,2,3,60
Cellulomonas septica,3,3,3,0,0,0,4,2,1,2,0,2,0
Cellulomonas shaoxiangyii,3,7,14,1,8,13,3,21,4,15,5,11,8
Cellulomonas soli,10,20,7,8,7,12,16,102,3,25,13,4,12
Cellulomonas sp. 14-74-6,5,0,1,0,1,1,1,9,0,1,0,0,6
Cellulomonas sp. 73-145,8,8,8,0,9,1,4,22,4,16,1,3,5
Cellulomonas sp. 73-92,31,10,8,6,16,10,15,35,7,44,6,8,8
Cellulomonas sp. A375-1,0,4,1,1,0,0,5,8,2,1,0,1,1
Cellulomonas sp. APG4,27,17,26,3,19,20,9,60,11,37,9,12,11
Cellulomonas sp. B6,7,9,4,2,5,1,4,9,0,17,0,2,1
Cellulomonas sp. C5510,20,17,7,1,1,8,13,61,4,9,7,2,3
Cellulomonas sp. DKR-3,13,14,6,8,7,13,5,43,0,11,2,3,6
Cellulomonas sp. FA1,0,0,2,1,0,0,0,29,0,0,0,1,5
Cellulomonas sp. GbtcB1,0,2,1,0,0,4,1,6,0,2,2,2,1
Cellulomonas sp. H30R-01,1,2,4,0,2,2,1,31,2,1,3,2,10
Cellulomonas sp. HD19AZ1,0,1,1,0,0,1,0,1,0,0,0,1,2
Cellulomonas sp. HLT2-17,11,16,14,5,9,9,8,55,6,27,7,5,12
Cellulomonas sp. HZM,15,4,5,3,10,2,7,25,7,14,3,6,10
Cellulomonas sp. IC4_254,4,4,6,0,7,0,1,7,5,6,1,1,1
Cellulomonas sp. JH27-2,6,13,6,1,2,5,7,13,1,6,4,4,4
Cellulomonas sp. JZ18,7,9,15,1,6,4,3,21,0,10,5,4,15
Cellulomonas sp. KH9,13,11,17,2,1,4,3,3,5,10,5,6,5
Cellulomonas sp. KRMCY2,23,23,12,11,19,15,13,61,11,48,18,16,11
Cellulomonas sp. Leaf334,3,1,6,8,6,7,4,7,0,10,5,2,3
Cellulomonas sp. Leaf395,5,4,2,1,1,5,10,41,2,13,4,4,9
Cellulomonas sp. NEAU-YY56,11,12,8,0,1,8,7,60,6,9,9,8,26
Cellulomonas sp. PS-H5,0,5,2,0,0,9,1,0,1,7,1,1,4
Cellulomonas sp. PSBB021,1,2,4,1,1,1,8,2,2,12,2,1,6
Cellulomonas sp. PhB143,10,4,8,2,14,9,3,66,2,35,8,2,6
Cellulomonas sp. PhB150,9,8,2,3,3,9,0,19,0,2,8,1,7
Cellulomonas sp. Root137,1,4,2,0,1,1,2,1,1,6,1,0,0
Cellulomonas sp. Root485,20,2,10,4,5,5,5,20,1,13,0,3,5
Cellulomonas sp. Root930,0,1,1,0,0,1,0,0,0,1,0,0,1
Cellulomonas sp. SLBN-39,24,9,5,2,2,8,2,102,2,21,0,5,8
Cellulomonas sp. Sa3CUA2,8,9,4,0,1,2,1,55,1,6,1,1,9
Cellulomonas sp. URHD0024,18,2,16,6,19,6,4,66,2,26,2,3,3
Cellulomonas sp. URHE0023,11,8,6,2,11,4,2,25,2,15,1,0,2
Cellulomonas sp. WB94,10,19,20,4,15,11,7,30,9,26,3,1,11
Cellulomonas sp. Y8,1,8,5,0,1,2,1,78,1,5,2,2,70
Cellulomonas sp. zg-B12,3,4,1,0,1,0,0,44,0,1,0,0,2
Cellulomonas sp. zg-B89,0,0,0,1,2,0,1,2,3,1,0,1,7
Cellulomonas sp. zg-Y138,1,0,0,0,0,0,0,0,0,0,0,0,0
Cellulomonas sp. zg-Y338,0,3,1,0,3,0,1,2,0,1,0,0,6
Cellulomonas sp. zg-Y766,2,0,2,2,1,1,0,0,1,2,0,1,4
Cellulomonas sp. zg-Y908,6,0,0,0,0,0,1,0,2,0,1,0,2
Cellulomonas sp. zg-ZUI157,0,2,1,0,0,1,0,3,0,0,0,0,1
Cellulomonas sp. zg-ZUI168,0,0,3,1,1,1,0,19,0,4,0,0,2
Cellulomonas sp. zg-ZUI188,0,1,0,0,3,0,0,4,1,5,0,2,0
Cellulomonas sp. zg-ZUI199,0,0,1,0,0,0,0,0,0,1,0,0,1
Cellulomonas sp. zg-ZUI222,0,0,0,0,0,1,1,3,0,0,0,0,0
Cellulomonas sp. zg-ZUI22,0,0,0,1,0,0,0,2,0,0,0,0,0
Cellulomonas sp. zg-ZUI40,2,2,0,0,0,4,0,0,0,3,0,0,0
Cellulomonas taurus,16,3,3,1,6,8,6,29,4,18,5,4,5
Cellulomonas telluris,7,5,5,1,4,6,5,20,6,9,3,4,7
Cellulomonas terrae,9,7,7,4,1,5,2,41,0,7,2,1,10
Cellulomonas timonensis,19,5,9,10,15,4,4,16,3,18,7,3,15
Cellulomonas uda,2,3,3,2,0,1,4,6,0,3,0,0,0
Cellulomonas xylanilytica,6,7,3,1,1,7,0,48,2,6,3,2,2
Cellulomonadaceae bacterium TMED98,6624,6,239,188,1189,119,2,279,4,5807,0,2,1
Oerskovia enterophila,2,4,1,2,0,1,2,17,3,6,1,5,6
Oerskovia jenensis,10,8,3,1,6,2,2,14,3,11,6,1,6
Oerskovia paurometabola,1,0,4,0,2,0,1,2,0,1,0,0,2
Oerskovia sp. KBS0722,2,11,1,5,2,2,0,18,1,5,4,1,7
Oerskovia sp. Root22,2,0,0,1,1,3,1,57,0,5,0,1,3
Oerskovia sp. Root918,2,1,1,0,0,0,4,1,0,1,0,0,2
Oerskovia sp. Sa1BUA8,6,8,1,3,1,0,5,52,4,8,0,3,8
